element,east_m,north_m
D228,-6.4403,7.9174
D229,-13.2044,11.5162
D230,-1.5493,17.3053
D231,-3.1813,-1.1069
D232,9.1300,2.0283
D233,7.9276,0.7134
D234,-2.2207,2.3477
D235,12.7789,9.6074
D236,0.4512,-9.7402
D237,-17.0105,8.4048
D238,-11.3830,-1.0814
D239,-2.3146,14.7993
D240,-6.5016,-10.7175
D241,-8.0132,-4.3859
D242,5.2911,-10.0506
D243,9.3233,-3.2795
D244,0.9551,18.9437
D245,11.2437,14.1111
D246,2.0269,9.2713
D247,6.3292,1.5275
D248,-18.4367,4.5256
D249,5.6938,-12.1824
D250,-18.4445,2.7020
D251,13.9531,1.4999
D252,-3.3168,-10.0253
D253,-6.4273,16.0091
D254,-0.9138,-6.6741
D255,14.5440,-5.5174
D256,2.8250,-0.1089
